n	v_eff	rho
862 4728.56 6.61634
863 4727.01 6.62014
864 4725.45 6.62395
865 4723.88 6.62776
866 4722.32 6.63158
867 4720.75 6.6354
868 4719.17 6.63923
869 4717.59 6.64306
870 4716.01 6.64689
871 4714.42 6.65073
872 4712.83 6.65457
873 4711.24 6.65842
874 4709.64 6.66227
875 4708.03 6.66612
876 4706.43 6.66998
877 4704.81 6.67384
878 4703.2 6.67771
879 4701.58 6.68158
880 4699.96 6.68546
881 4698.33 6.68934
882 4696.7 6.69322
883 4695.06 6.69711
884 4693.42 6.701
885 4691.78 6.7049
886 4690.13 6.7088
887 4688.48 6.7127
888 4686.82 6.71661
889 4685.16 6.72052
890 4683.5 6.72444
891 4681.83 6.72836
892 4680.16 6.73229
893 4678.48 6.73622
894 4676.8 6.74015
895 4675.12 6.74409
896 4673.43 6.74804
897 4671.74 6.75198
898 4670.04 6.75594
899 4668.34 6.75989
900 4666.64 6.76385
901 4664.93 6.76782
902 4663.22 6.77179
903 4661.51 6.77576
904 4659.79 6.77974
905 4658.06 6.78372
906 4656.34 6.78771
907 4654.61 6.7917
908 4652.87 6.79569
909 4651.13 6.79969
910 4649.39 6.80369
911 4647.64 6.8077
912 4645.89 6.81172
913 4644.14 6.81573
914 4642.38 6.81975
915 4640.62 6.82378
916 4638.85 6.82781
917 4637.08 6.83184
918 4635.31 6.83588
919 4633.53 6.83993
920 4631.75 6.84397
921 4629.96 6.84803
922 4628.17 6.85208
923 4626.38 6.85614
924 4624.58 6.86021
925 4622.78 6.86428
926 4620.98 6.86835
927 4619.17 6.87243
928 4617.35 6.87651
929 4615.54 6.8806
930 4613.72 6.88469
931 4611.89 6.88879
932 4610.07 6.89289
933 4608.24 6.897
934 4606.4 6.90111
935 4604.56 6.90522
936 4602.72 6.90934
937 4600.87 6.91346
938 4599.02 6.91759
939 4597.17 6.92172
940 4595.31 6.92586
941 4593.45 6.93
942 4591.58 6.93415
943 4589.71 6.9383
944 4587.84 6.94245
945 4585.96 6.94661
946 4584.08 6.95078
947 4582.2 6.95495
948 4580.31 6.95912
949 4578.42 6.9633
950 4576.52 6.96748
951 4574.62 6.97166
952 4572.72 6.97586
953 4570.81 6.98005
954 4568.9 6.98425
955 4566.99 6.98846
956 4565.07 6.99267
957 4563.15 6.99688
958 4561.23 7.0011
959 4559.3 7.00532
960 4557.37 7.00955
961 4555.43 7.01378
962 4553.49 7.01802
963 4551.55 7.02226
964 4549.6 7.0265
965 4547.65 7.03076
966 4545.7 7.03501
967 4543.74 7.03927
968 4541.78 7.04353
969 4539.81 7.0478
970 4537.84 7.05208
971 4535.87 7.05636
972 4533.9 7.06064
973 4531.92 7.06493
974 4529.93 7.06922
975 4527.95 7.07351
976 4525.96 7.07782
977 4523.97 7.08212
978 4521.97 7.08643
979 4519.97 7.09075
980 4517.96 7.09507
981 4515.96 7.09939
982 4513.94 7.10372
983 4511.93 7.10806
984 4509.91 7.11239
985 4507.89 7.11674
986 4505.87 7.12109
987 4503.84 7.12544
988 4501.8 7.1298
989 4499.77 7.13416
990 4497.73 7.13852
991 4495.69 7.14289
992 4493.64 7.14727
993 4491.59 7.15165
994 4489.54 7.15604
995 4487.48 7.16043
996 4485.42 7.16482
997 4483.36 7.16922
998 4481.29 7.17362
999 4479.22 7.17803
1000 4477.15 7.18245
1001 4475.07 7.18686
1002 4472.99 7.19129
1003 4470.91 7.19572
1004 4468.82 7.20015
1005 4466.73 7.20458
1006 4464.64 7.20903
1007 4462.54 7.21347
1008 4460.44 7.21792
1009 4458.34 7.22238
1010 4456.23 7.22684
1011 4454.12 7.23131
1012 4452.01 7.23578
1013 4449.89 7.24025
1014 4447.77 7.24473
1015 4445.65 7.24922
1016 4443.52 7.2537
1017 4441.39 7.2582
1018 4439.26 7.2627
1019 4437.12 7.2672
1020 4434.98 7.27171
1021 4432.84 7.27622
1022 4430.69 7.28074
1023 4428.54 7.28526
1024 4426.39 7.28979
1025 4424.23 7.29432
1026 4422.07 7.29886
1027 4419.91 7.3034
1028 4417.74 7.30794
1029 4415.57 7.31249
1030 4413.4 7.31705
1031 4411.23 7.32161
1032 4409.05 7.32618
1033 4406.87 7.33075
1034 4404.68 7.33532
1035 4402.5 7.3399
1036 4400.3 7.34449
1037 4398.11 7.34907
1038 4395.91 7.35367
1039 4393.71 7.35827
1040 4391.51 7.36287
1041 4389.3 7.36748
1042 4387.09 7.37209
1043 4384.88 7.37671
1044 4382.66 7.38133
1045 4380.45 7.38596
1046 4378.22 7.39059
1047 4376 7.39523
1048 4373.77 7.39987
1049 4371.54 7.40452
1050 4369.31 7.40917
1051 4367.07 7.41383
1052 4364.83 7.41849
1053 4362.58 7.42315
1054 4360.34 7.42783
1055 4358.09 7.4325
1056 4355.84 7.43718
1057 4353.58 7.44187
1058 4351.32 7.44656
1059 4349.06 7.45125
1060 4346.8 7.45595
1061 4344.53 7.46066
1062 4342.26 7.46537
1063 4339.99 7.47008
1064 4337.72 7.4748
1065 4335.44 7.47952
1066 4333.16 7.48425
1067 4330.87 7.48898
1068 4328.58 7.49372
1069 4326.29 7.49847
1070 4324 7.50321
1071 4321.71 7.50797
1072 4319.41 7.51272
1073 4317.11 7.51749
1074 4314.8 7.52225
1075 4312.5 7.52703
1076 4310.19 7.5318
1077 4307.87 7.53659
1078 4305.56 7.54137
1079 4303.24 7.54616
1080 4300.92 7.55096
1081 4298.59 7.55576
1082 4296.27 7.56057
1083 4293.94 7.56538
1084 4291.61 7.57019
1085 4289.27 7.57502
1086 4286.94 7.57984
1087 4284.6 7.58467
1088 4282.25 7.58951
1089 4279.91 7.59435
1090 4277.56 7.59919
1091 4275.21 7.60404
1092 4272.85 7.6089
1093 4270.5 7.61376
1094 4268.14 7.61862
1095 4265.78 7.62349
1096 4263.41 7.62836
1097 4261.05 7.63324
1098 4258.68 7.63813
1099 4256.31 7.64301
1100 4253.93 7.64791
1101 4251.56 7.65281
1102 4249.18 7.65771
1103 4246.79 7.66262
1104 4244.41 7.66753
1105 4242.02 7.67245
1106 4239.63 7.67737
1107 4237.24 7.6823
1108 4234.84 7.68723
1109 4232.45 7.69217
1110 4230.05 7.69711
1111 4227.64 7.70206
1112 4225.24 7.70701
1113 4222.83 7.71197
1114 4220.42 7.71693
1115 4218.01 7.72189
1116 4215.6 7.72686
1117 4213.18 7.73184
1118 4210.76 7.73682
1119 4208.34 7.74181
1120 4205.91 7.7468
1121 4203.49 7.75179
1122 4201.06 7.75679
1123 4198.63 7.7618
1124 4196.19 7.76681
1125 4193.76 7.77182
1126 4191.32 7.77684
1127 4188.88 7.78187
1128 4186.43 7.7869
1129 4183.99 7.79193
1130 4181.54 7.79697
1131 4179.09 7.80202
1132 4176.64 7.80707
1133 4174.18 7.81212
1134 4171.72 7.81718
1135 4169.27 7.82224
1136 4166.8 7.82731
1137 4164.34 7.83238
1138 4161.87 7.83746
1139 4159.41 7.84254
1140 4156.94 7.84763
1141 4154.46 7.85273
1142 4151.99 7.85782
1143 4149.51 7.86293
1144 4147.03 7.86803
1145 4144.55 7.87315
1146 4142.07 7.87826
1147 4139.58 7.88338
1148 4137.09 7.88851
1149 4134.6 7.89364
1150 4132.11 7.89878
1151 4129.62 7.90392
1152 4127.12 7.90907
1153 4124.62 7.91422
